transaction_id,user_id,product_id,category,amount,quantity,date,payment_method,status,country
TXN-000000,USR-0141,PRD-0063,Juguetes,205.89,9,2024-01-16 00:00:00,tarjeta_debito,completada,BR
TXN-000001,USR-0113,PRD-0115,Electrónica,1517.86,7,2024-06-21 00:00:00,efectivo,completada,MX
TXN-000002,USR-0374,PRD-0118,Deportes,158.52,10,2024-04-08 00:00:00,tarjeta_credito,pendiente,CL
TXN-000003,USR-0195,PRD-0072,Hogar,326.15,5,2024-02-06 00:00:00,tarjeta_debito,pendiente,CO
TXN-000004,USR-0353,PRD-0143,Hogar,1685.86,4,2024-07-24 00:00:00,tarjeta_debito,cancelada,CO
TXN-000005,USR-0235,PRD-0037,Ropa,1490.23,10,2024-07-04 00:00:00,tarjeta_debito,reembolsada,CL
TXN-000006,USR-0082,PRD-0175,Electrónica,770.15,8,2024-01-06 00:00:00,tarjeta_credito,cancelada,MX
TXN-000007,USR-0233,PRD-0001,Juguetes,527.51,3,2024-11-16 00:00:00,billetera_digital,pendiente,AR
TXN-000008,USR-0272,PRD-0001,Deportes,39.93,5,2024-10-17 00:00:00,tarjeta_credito,reembolsada,PE
TXN-000009,USR-0244,PRD-0141,Libros,1744.99,4,2024-12-19 00:00:00,transferencia,reembolsada,BR
TXN-000010,USR-0232,PRD-0031,Electrónica,676.83,4,2027-06-30 00:00:00,tarjeta_debito,completada,MX
TXN-000011,USR-0343,PRD-0125,Ropa,1446.98,10,2024-07-27 00:00:00,tarjeta_credito,reembolsada,CO
TXN-000012,USR-0345,PRD-0168,Electrónica,122.16,2,2024-08-17 00:00:00,tarjeta_debito,cancelada,CL
TXN-000013,USR-0282,PRD-0026,Libros,1672.22,4,2024-04-19 00:00:00,tarjeta_credito,pendiente,CO
TXN-000014,USR-0233,PRD-0074,Juguetes,1990.85,8,2024-01-30 00:00:00,billetera_digital,completada,CL
TXN-000015,USR-0471,PRD-0136,Libros,161.14,10,2024-07-25 00:00:00,billetera_digital,pendiente,CL
TXN-000016,USR-0299,PRD-0145,Hogar,409.31,4,2024-11-26 00:00:00,transferencia,completada,
TXN-000017,USR-0052,PRD-0019,Libros,531.14,2,2024-03-21 00:00:00,billetera_digital,cancelada,BR
TXN-000018,USR-0284,PRD-0077,Electrónica,1877.92,2,2024-03-20 00:00:00,billetera_digital,pendiente,AR
TXN-000019,USR-0259,PRD-0126,Electrónica,185.5,5,2024-03-07 00:00:00,transferencia,pendiente,PE
TXN-000020,USR-0058,PRD-0020,Juguetes,1807.95,6,2024-03-06 00:00:00,transferencia,completada,AR
TXN-000021,USR-0182,PRD-0200,Deportes,1947.7,4,2024-03-31 00:00:00,tarjeta_credito,pendiente,MX
TXN-000022,USR-0343,PRD-0189,Hogar,319.24,7,2024-04-23 00:00:00,efectivo,cancelada,AR
TXN-000023,USR-0205,PRD-0085,Electrónica,1933.81,9,2024-10-01 00:00:00,tarjeta_credito,completada,MX
TXN-000024,USR-0136,PRD-0010,Deportes,692.03,7,2024-07-16 00:00:00,tarjeta_debito,cancelada,CO
TXN-000021,USR-0482,PRD-0190,Ropa,729.08,6,2024-03-04 00:00:00,transferencia,cancelada,MX
TXN-000026,USR-0066,PRD-0050,Deportes,1354.96,10,2024-01-01 00:00:00,tarjeta_debito,reembolsada,PE
TXN-000027,USR-0227,PRD-0173,Deportes,1587.68,3,2024-12-05 00:00:00,transferencia,completada,AR
TXN-000028,USR-0102,PRD-0038,Ropa,1967.89,2,2024-10-21 00:00:00,efectivo,reembolsada,AR
TXN-000029,,PRD-0193,Electrónica,1557.06,9,2024-03-03 00:00:00,efectivo,cancelada,CO
TXN-000030,USR-0259,PRD-0110,Libros,892.38,8,2024-11-22 00:00:00,billetera_digital,reembolsada,MX
TXN-000031,USR-0121,PRD-0070,Libros,162.07,7,2024-02-02 00:00:00,transferencia,reembolsada,AR
TXN-000032,USR-0395,PRD-0150,Electrónica,1713.61,7,2024-06-01 00:00:00,efectivo,pendiente,MX
TXN-000033,USR-0173,PRD-0172,Deportes,1448.64,3,2024-07-20 00:00:00,tarjeta_credito,completada,AR
TXN-000034,USR-0134,PRD-0098,Deportes,654.36,7,2024-08-03 00:00:00,tarjeta_credito,reembolsada,PE
TXN-000035,USR-0115,PRD-0167,Juguetes,81.48,4,2024-03-19 00:00:00,efectivo,completada,AR
